,PLAYER_NAME,Position
1,Shai Gilgeous-Alexander,SG
2,Jayson Tatum,PF
3,De'Aaron Fox,PG
4,Giannis Antetokounmpo,PF
5,LaMelo Ball,PG
6,Anthony Davis,C
7,Anthony Edwards,SG
8,Franz Wagner,SF
9,Jalen Brunson,PG
10,Donovan Mitchell,SG
11,James Harden,PG
12,Karl-Anthony Towns,C
13,Kyrie Irving,SG
14,Devin Booker,SG
15,LeBron James,SF
16,Nikola Jokić,C
17,Nikola Vučević,C
18,Pascal Siakam,PF
19,Tyler Herro,SG
20,Jalen Williams,SG
21,Luka Dončić,PG
22,Trae Young,PG
23,RJ Barrett,SG
24,Jaren Jackson Jr.,C
25,Cade Cunningham,PG
26,Cam Thomas,SG
27,Darius Garland,PG
28,Damian Lillard,PG
29,Victor Wembanyama,C
30,Julius Randle,PF
31,Jalen Johnson,SF
32,Jalen Green,SG
33,Zach LaVine,SF
34,Alperen Sengun,C
35,Domantas Sabonis,C
36,Bennedict Mathurin,SG
37,Jaden Ivey,SG
38,Coby White,SG
39,Cameron Johnson,PF
40,Norman Powell,SG
41,Jaylen Brown,SF
42,DeMar DeRozan,SF
43,Brandon Ingram,SF
44,Tyrese Haliburton,PG
45,Dennis Schröder,PG
46,Evan Mobley,PF
47,Malik Beasley,SG
48,Derrick White,SG
49,OG Anunoby,PF
50,John Collins,PF
51,Collin Sexton,SG
52,Stephen Curry,PG
53,Jordan Poole,SG
54,Ivica Zubac,C
55,Jakob Poeltl,C
56,Michael Porter Jr.,SF
57,Brandon Miller,SF
58,Mikal Bridges,SF
59,Fred VanVleet,PG
60,Kevin Durant,PF
61,Payton Pritchard,PG
62,Jalen Suggs,PG
63,Austin Reaves,SG
64,Lauri Markkanen,PF
65,Tyrese Maxey,PG
66,Anfernee Simons,SG
67,Gradey Dick,SG
68,Jerami Grant,PF
69,Myles Turner,C
70,Jarrett Allen,C
71,Andrew Wiggins,SF
72,Keyonte George,PG
73,Buddy Hield,SG
74,Jared McCain,SG
75,Christian Braun,SG
76,Bam Adebayo,C
77,Tobias Harris,PF
78,Moritz Wagner,C
79,Josh Hart,SG
80,Santi Aldama,PF
81,Jamal Murray,PG
82,Dillon Brooks,SF
83,Jimmy Butler,PF
84,Dyson Daniels,SG
85,Jaylen Wells,SG
86,Keegan Murray,PF
87,Daniel Gafford,C
88,Naz Reid,C
89,Ochai Agbaji,SG
90,Jabari Smith Jr.,PF
91,Deni Avdija,SF
92,Ayo Dosunmu,SG
93,Ty Jerome,SG
94,Amen Thompson,SF
95,Josh Giddey,PG
96,Scotty Pippen Jr.,PG
97,Zaccharie Risacher,SF
98,Brook Lopez,C
99,Julian Champagnie,SF
100,Dalton Knecht,SF
101,Shaedon Sharpe,SG
102,Tari Eason,SF
103,Ja Morant,PG
104,Harrison Barnes,PF
105,Keldon Johnson,SF
106,Naji Marshall,SF
107,Jonathan Kuminga,PF
108,Bobby Portis,PF
109,Kelly Oubre Jr.,SF
110,D'Angelo Russell,PG
111,Stephon Castle,PG
112,Klay Thompson,SF
113,Clint Capela,C
114,Jrue Holiday,PG
115,Derrick Jones Jr.,SF
116,Tyus Jones,PG
117,Jonas Valančiūnas,C
